id,code,name,state_id:id,country_id:id
town_DO_010,"010","AZUA",base.state_DO_02,base.do
town_DO_017,"017","PADRE LAS CASAS",base.state_DO_02,base.do
town_DO_105,"105","GUAYABAL",base.state_DO_02,base.do
town_DO_106,"106","PERALTA",base.state_DO_02,base.do
town_DO_107,"107","SABANA YEGUA",base.state_DO_02,base.do
town_DO_125,"125","LAS YAYAS DE VIAJAMA",base.state_DO_02,base.do
town_DO_126,"126","TABARA ARRIBA",base.state_DO_02,base.do
town_DO_132,"132","ESTEBANIA",base.state_DO_02,base.do
town_DO_135,"135","LAS CHARCAS",base.state_DO_02,base.do
town_DO_154,"154","PUEBLO VIEJO",base.state_DO_02,base.do
town_DO_022,"022","NEYBA",base.state_DO_03,base.do
town_DO_076,"076","TAMAYO",base.state_DO_03,base.do
town_DO_078,"078","VILLA JARAGUA",base.state_DO_03,base.do
town_DO_112,"112","LOS RIOS",base.state_DO_03,base.do
town_DO_113,"113","GALVAN",base.state_DO_03,base.do
town_DO_018,"018","BARAHONA",base.state_DO_04,base.do
town_DO_019,"019","CABRAL",base.state_DO_04,base.do
town_DO_021,"021","ENRIQUILLO",base.state_DO_04,base.do
town_DO_079,"079","VICENTE NOBLE",base.state_DO_04,base.do
town_DO_080,"080","PARAISO",base.state_DO_04,base.do
town_DO_111,"111","POLO",base.state_DO_04,base.do
town_DO_130,"130","EL PEÑON",base.state_DO_04,base.do
town_DO_131,"131","FUNDACION",base.state_DO_04,base.do
town_DO_137,"137","LAS SALINAS",base.state_DO_04,base.do
town_DO_160,"160","LA CIENAGA",base.state_DO_04,base.do
town_DO_167,"167","JAQUIMEYES",base.state_DO_04,base.do
town_DO_043,"043","RESTAURACION",base.state_DO_05,base.do
town_DO_044,"044","DAJABON",base.state_DO_05,base.do
town_DO_073,"073","LOMA DE CABRERA",base.state_DO_05,base.do
town_DO_115,"115","PARTIDO",base.state_DO_05,base.do
town_DO_151,"151","EL PINO",base.state_DO_05,base.do
town_DO_056,"056","SAN FRANCISCO DE MACORIS",base.state_DO_06,base.do
town_DO_057,"057","PIMENTEL",base.state_DO_06,base.do
town_DO_058,"058","VILLA RIVA",base.state_DO_06,base.do
town_DO_059,"059","CASTILLO",base.state_DO_06,base.do
town_DO_063,"063","EUGENIO MARIA DE HOSTOS",base.state_DO_06,base.do
town_DO_119,"119","ARENOSO",base.state_DO_06,base.do
town_DO_143,"143","LAS GUARANAS",base.state_DO_06,base.do
town_DO_015,"015","BANICA",base.state_DO_07,base.do
town_DO_016,"016","COMENDADOR",base.state_DO_07,base.do
town_DO_074,"074","PEDRO SANTANA",base.state_DO_07,base.do
town_DO_075,"075","HONDO VALLE",base.state_DO_07,base.do
town_DO_110,"110","EL LLANO",base.state_DO_07,base.do
town_DO_144,"144","JUAN SANTIAGO ",base.state_DO_07,base.do
town_DO_025,"025","EL SEIBO",base.state_DO_08,base.do
town_DO_029,"029","MICHES",base.state_DO_08,base.do
town_DO_054,"054","MOCA",base.state_DO_09,base.do
town_DO_061,"061","GASPAR HERNANDEZ",base.state_DO_09,base.do
town_DO_088,"088","CAYETANO GERMOSEN",base.state_DO_09,base.do
town_DO_133,"133","JAMAO AL NORTE",base.state_DO_09,base.do
town_DO_149,"149","SAN VICTOR",base.state_DO_09,base.do
town_DO_020,"020","DUVERGE",base.state_DO_10,base.do
town_DO_070,"070","LA DESCUBIERTA",base.state_DO_10,base.do
town_DO_077,"077","JIMANI",base.state_DO_10,base.do
town_DO_099,"099","POSTRER RIO",base.state_DO_10,base.do
town_DO_114,"114","MELLA",base.state_DO_10,base.do
town_DO_128,"128","CRISTOBAL",base.state_DO_10,base.do
town_DO_028,"028","HIGUEY",base.state_DO_11,base.do
town_DO_085,"085","SAN RAFAEL DEL YUMA",base.state_DO_11,base.do
town_DO_026,"026","LA ROMANA",base.state_DO_12,base.do
town_DO_103,"103","GUAYMATE",base.state_DO_12,base.do
town_DO_295,"295","VILLA HERMOSA",base.state_DO_12,base.do
town_DO_047,"047","LA VEGA",base.state_DO_13,base.do
town_DO_050,"050","JARABACOA",base.state_DO_13,base.do
town_DO_053,"053","CONSTANZA",base.state_DO_13,base.do
town_DO_122,"122","JIMA ABAJO",base.state_DO_13,base.do
town_DO_060,"060","CABRERA",base.state_DO_14,base.do
town_DO_071,"071","NAGUA",base.state_DO_14,base.do
town_DO_081,"081","RIO SAN JUAN",base.state_DO_14,base.do
town_DO_136,"136","EL FACTOR",base.state_DO_14,base.do
town_DO_041,"041","MONTECRISTI",base.state_DO_15,base.do
town_DO_045,"045","GUAYUBIN",base.state_DO_15,base.do
town_DO_072,"072","VILLA VASQUEZ",base.state_DO_15,base.do
town_DO_086,"086","PEPILLO SALCEDO",base.state_DO_15,base.do
town_DO_101,"101","CASTAÑUELAS",base.state_DO_15,base.do
town_DO_117,"117","LAS MATAS DE SANTA CRUZ",base.state_DO_15,base.do
town_DO_069,"069","PEDERNALES",base.state_DO_16,base.do
town_DO_091,"091","OVIEDO",base.state_DO_16,base.do
town_DO_003,"003","BANI",base.state_DO_17,base.do
town_DO_084,"084","NIZAO",base.state_DO_17,base.do
town_DO_156,"156","MATANZAS",base.state_DO_17,base.do
town_DO_037,"037","PUERTO PLATA",base.state_DO_18,base.do
town_DO_038,"038","IMBERT",base.state_DO_18,base.do
town_DO_039,"039","ALTAMIRA",base.state_DO_18,base.do
town_DO_040,"040","LUPERON",base.state_DO_18,base.do
town_DO_097,"097","SOSUA",base.state_DO_18,base.do
town_DO_102,"102","LOS HIDALGOS",base.state_DO_18,base.do
town_DO_120,"120","GUANANICO",base.state_DO_18,base.do
town_DO_121,"121","VILLA ISABELA",base.state_DO_18,base.do
town_DO_175,"175","VILLA MONTELLANO",base.state_DO_18,base.do
town_DO_051,"051","VILLA TAPIA",base.state_DO_19,base.do
town_DO_055,"055","SALCEDO",base.state_DO_19,base.do
town_DO_064,"064","TENARES",base.state_DO_19,base.do
town_DO_065,"065","SAMANA",base.state_DO_20,base.do
town_DO_066,"066","SANCHEZ",base.state_DO_20,base.do
town_DO_134,"134","LAS TERRENAS",base.state_DO_20,base.do
town_DO_002,"002","SAN CRISTOBAL",base.state_DO_21,base.do
town_DO_068,"068","VILLA ALTAGRACIA",base.state_DO_21,base.do
town_DO_082,"082","YAGUATE",base.state_DO_21,base.do
town_DO_083,"083","SABANA GRANDE DE PALENQUE",base.state_DO_21,base.do
town_DO_093,"093","BAJOS DE HAINA",base.state_DO_21,base.do
town_DO_104,"104","CAMBITA GARABITOS",base.state_DO_21,base.do
town_DO_139,"139","LOS CACAOS",base.state_DO_21,base.do
town_DO_140,"140","SAN GREGORIO DE NIGUA",base.state_DO_21,base.do
town_DO_011,"011","LAS MATAS DE FARFAN",base.state_DO_22,base.do
town_DO_012,"012","SAN JUAN DE LA MAGUANA",base.state_DO_22,base.do
town_DO_014,"014","EL CERCADO",base.state_DO_22,base.do
town_DO_108,"108","VALLEJUELO",base.state_DO_22,base.do
town_DO_109,"109","BOHECHIO",base.state_DO_22,base.do
town_DO_129,"129","JUAN DE HERRERA",base.state_DO_22,base.do
town_DO_023,"023","SAN PEDRO DE MACORIS",base.state_DO_23,base.do
town_DO_024,"024","LOS LLANOS",base.state_DO_23,base.do
town_DO_030,"030","RAMON SANTANA",base.state_DO_23,base.do
town_DO_138,"138","CONSUELO",base.state_DO_23,base.do
town_DO_146,"146","QUISQUEYA",base.state_DO_23,base.do
town_DO_364,"364","GUAYACANES",base.state_DO_23,base.do
town_DO_049,"049","COTUI",base.state_DO_24,base.do
town_DO_052,"052","CEVICOS",base.state_DO_24,base.do
town_DO_087,"087","FANTINO",base.state_DO_24,base.do
town_DO_155,"155","VILLA LA MATA",base.state_DO_24,base.do
town_DO_031,"031","SANTIAGO DE LOS CABALLEROS",base.state_DO_25,base.do
town_DO_032,"032","TAMBORIL",base.state_DO_25,base.do
town_DO_035,"035","JANICO",base.state_DO_25,base.do
town_DO_036,"036","SAN JOSE DE LAS MATAS",base.state_DO_25,base.do
town_DO_094,"094","VILLA GONZALEZ",base.state_DO_25,base.do
town_DO_095,"095","LICEY AL MEDIO",base.state_DO_25,base.do
town_DO_096,"096","VILLA BISONO -NAVARRETE-",base.state_DO_25,base.do
town_DO_148,"148","SABANA IGLESIA",base.state_DO_25,base.do
town_DO_161,"161","BAITOA",base.state_DO_25,base.do
town_DO_350,"350","PUÑAL",base.state_DO_25,base.do
town_DO_042,"042","MONCION",base.state_DO_26,base.do
town_DO_046,"046","SAN IGNACIO DE SABANETA",base.state_DO_26,base.do
town_DO_116,"116","VILLA LOS ALMACIGOS",base.state_DO_26,base.do
town_DO_033,"033","ESPERANZA",base.state_DO_27,base.do
town_DO_034,"034","MAO",base.state_DO_27,base.do
town_DO_092,"092","LAGUNA SALADA",base.state_DO_27,base.do
town_DO_048,"048","BONAO",base.state_DO_28,base.do
town_DO_118,"118","MAIMON",base.state_DO_28,base.do
town_DO_123,"123","PIEDRA BLANCA",base.state_DO_28,base.do
town_DO_004,"004","BAYAGUANA",base.state_DO_29,base.do
town_DO_005,"005","YAMASA",base.state_DO_29,base.do
town_DO_008,"008","MONTE PLATA",base.state_DO_29,base.do
town_DO_090,"090","SABANA GRANDE DE BOYA",base.state_DO_29,base.do
town_DO_153,"153","PERALVILLO",base.state_DO_29,base.do
town_DO_027,"027","HATO MAYOR",base.state_DO_30,base.do
town_DO_067,"067","SABANA DE LA MAR",base.state_DO_30,base.do
town_DO_100,"100","EL VALLE",base.state_DO_30,base.do
town_DO_013,"013","SAN JOSE DE OCOA",base.state_DO_31,base.do
town_DO_150,"150","SABANA LARGA",base.state_DO_31,base.do
town_DO_152,"152","RANCHO ARRIBA",base.state_DO_31,base.do
town_DO_223,"223","SANTO DOMINGO ESTE",base.state_DO_32,base.do
town_DO_224,"224","SANTO DOMINGO OESTE",base.state_DO_32,base.do
town_DO_225,"225","SANTO DOMINGO NORTE",base.state_DO_32,base.do
town_DO_226,"226","BOCA CHICA",base.state_DO_32,base.do
town_DO_227,"227","SAN ANTONIO DE GUERRA",base.state_DO_32,base.do
town_DO_228,"228","PEDRO BRAND",base.state_DO_32,base.do
town_DO_229,"229","LOS ALCARRIZOS",base.state_DO_32,base.do
